startDate,timeStep,size,sizeNext,sizeChange,surv
10/3/05,0,24.89,44.88,19.99,1
10/3/05,0,28.71,45.72,17.01,1
10/3/05,0,33.34,75.83,42.49,1
10/3/05,0,33.37,69.48,36.11,1
10/3/05,0,34.06,56.97,22.91,1
10/3/05,0,21.82,44.41,22.59,1
10/3/05,0,30.41,63.21,32.8,1
10/3/05,0,21.84,45.51,23.67,1
10/3/05,0,29.86,46.42,16.56,1
10/3/05,0,26.7,47.99,21.29,1
10/3/05,0,31.63,53.97,22.34,1
10/3/05,0,33.09,65.57,32.48,1
10/3/05,0,29.75,57.18,27.43,1
10/3/05,0,37.82,69.91,32.09,1
10/3/05,0,22.46,NA,NA,0
10/3/05,0,29.3,53.3,24,1
10/3/05,0,36.59,72.68,36.09,1
10/3/05,0,22.84,39.8,16.96,1
10/3/05,0,24.85,50.06,25.21,1
10/3/05,0,30.49,56.69,26.2,1
10/3/05,0,32.2,66.43,34.23,1
10/3/05,0,27.43,59.59,32.16,1
10/3/05,0,34.67,60.06,25.39,1
10/3/05,0,37.55,58.22,20.67,1
10/3/05,0,29.43,60.35,30.92,1
10/3/05,0,25.06,59.21,34.15,1
10/3/05,0,30.03,54.81,24.78,1
10/3/05,0,36.67,62.65,25.98,1
10/3/05,0,33.7,51.41,17.71,1
10/3/05,0,28.39,62.55,34.16,1
10/3/05,0,39.36,54.61,15.25,1
10/3/05,0,26.32,40.42,14.1,1
10/3/05,0,45.94,69.46,23.52,1
10/3/05,0,33.35,61.3,27.95,1
10/3/05,0,21.96,42.55,20.59,1
10/3/05,0,31.81,57.13,25.32,1
10/3/05,0,32.95,73.85,40.9,1
10/3/05,0,26.65,50.64,23.99,1
10/3/05,0,32.71,64.85,32.14,1
10/3/05,0,40.41,66.95,26.54,1
10/3/05,0,26.47,NA,NA,0
10/3/05,0,21.24,38.73,17.49,1
10/3/05,0,17.73,33.18,15.45,1
10/3/05,0,23.81,54.06,30.25,1
10/3/05,0,28.78,43.8,15.02,1
10/3/05,0,25.84,55.14,29.3,1
10/3/05,0,30.65,49.02,18.37,1
10/3/05,0,27.53,47.16,19.63,1
10/3/05,0,31.81,58.2,26.39,1
10/3/05,0,23.03,39.68,16.65,1
10/3/05,0,19.88,44.85,24.97,1
10/3/05,0,24.37,47.39,23.02,1
10/3/05,0,25.73,49.63,23.9,1
10/3/05,0,34.77,66.69,31.92,1
10/3/05,0,34.25,60.72,26.47,1
10/3/05,0,30.96,67.4,36.44,1
10/3/05,0,33.74,56.87,23.13,1
10/3/05,0,29.22,63.16,33.94,1
10/3/05,0,35.75,62.68,26.93,1
10/3/05,0,22.24,43.42,21.18,1
10/3/05,0,28.25,52.66,24.41,1
10/3/05,0,27.77,48.77,21,1
10/3/05,0,24.68,47.44,22.76,1
10/3/05,0,28.01,53.93,25.92,1
10/3/05,0,37.48,64.79,27.31,1
10/3/05,0,27.77,61.22,33.45,1
10/3/05,0,29.33,61.37,32.04,1
10/3/05,0,37.65,73.38,35.73,1
10/3/05,0,31.95,53,21.05,1
10/3/05,0,26.58,46.04,19.46,1
10/3/05,0,28.66,46.65,17.99,1
10/3/05,0,21.18,45.77,24.59,1
10/3/05,0,29.08,55.34,26.26,1
10/3/05,0,22.29,37.66,15.37,1
10/3/05,0,29.72,NA,NA,0
10/3/05,0,27.57,NA,NA,0
10/3/05,0,28.61,54.89,26.28,1
10/3/05,0,25.44,52.91,27.47,1
10/3/05,0,27.69,46.1,18.41,1
10/3/05,0,23.29,NA,NA,0
10/3/05,0,25.6,56,30.4,1
10/3/05,0,27.74,NA,NA,0
10/3/05,0,31.96,66.19,34.23,1
10/3/05,0,24.42,40.78,16.36,1
10/3/05,0,36.63,74.66,38.03,1
10/3/05,0,29.74,54.97,25.23,1
10/3/05,0,34.79,62.59,27.8,1
10/3/05,0,30.56,64.15,33.59,1
10/3/05,0,34.3,48.98,14.68,1
10/3/05,0,21.5,29.72,8.22,1
10/3/05,0,24.68,48.15,23.47,1
10/3/05,0,22.52,52.5,29.98,1
10/3/05,0,25.55,47.98,22.43,1
10/3/05,0,26.08,54.57,28.49,1
10/3/05,0,31.74,59.73,27.99,1
10/3/05,0,28.55,57.43,28.88,1
10/3/05,0,23.36,44.68,21.32,1
10/3/05,0,35.54,59.36,23.82,1
10/3/05,0,15.53,40.61,25.08,1
10/3/05,0,30.45,62.39,31.94,1
10/3/05,0,21.85,47.96,26.11,1
10/3/05,0,24.4,51.88,27.48,1
10/3/05,0,31.6,NA,NA,0
10/3/05,0,42.99,58.18,15.19,1
10/3/05,0,24.18,52.95,28.77,1
10/3/05,0,38.46,73.59,35.13,1
10/3/05,0,37.59,53.01,15.42,1
10/3/05,0,25.95,51.88,25.93,1
10/3/05,0,34.82,52.65,17.83,1
10/3/05,0,34.54,68.97,34.43,1
10/3/05,0,18.28,39.39,21.11,1
10/3/05,0,26.67,54.18,27.51,1
10/3/05,0,20.15,NA,NA,0
10/3/05,0,16.86,28.41,11.55,1
10/3/05,0,25.04,58.64,33.6,1
10/3/05,0,32.98,56.86,23.88,1
10/3/05,0,31.63,69.7,38.07,1
10/3/05,0,20.25,NA,NA,0
10/3/05,0,38.62,74.98,36.36,1
10/3/05,0,31.5,59.25,27.75,1
10/3/05,0,30.58,57.69,27.11,1
10/3/05,0,23.91,47.8,23.89,1
10/3/05,0,24.59,55.28,30.69,1
10/3/05,0,33.14,52.02,18.88,1
10/3/05,0,18.62,39.69,21.07,1
10/3/05,0,30.26,48.04,17.78,1
10/3/05,0,31.66,52.03,20.37,1
10/3/05,0,43.06,66.89,23.83,1
10/3/05,0,24.04,50.87,26.83,1
10/3/05,0,22.3,NA,NA,0
10/3/05,0,24.36,57.02,32.66,1
10/3/05,0,29.64,60.1,30.46,1
10/3/05,0,27.23,69.53,42.3,1
10/3/05,0,18.04,39,20.96,1
10/3/05,0,25.51,42.85,17.34,1
10/3/05,0,25.12,45.38,20.26,1
10/3/05,0,25.26,40.06,14.8,1
10/3/05,0,27.21,43.9,16.69,1
10/3/05,0,25.96,50.78,24.82,1
10/3/05,0,22.7,46.37,23.67,1
10/3/05,0,24.51,35.99,11.48,1
10/3/05,0,32.77,55.74,22.97,1
10/3/05,0,29.35,51.59,22.24,1
10/3/05,0,21.86,50.44,28.58,1
10/3/05,0,18.72,46.86,28.14,1
10/3/05,0,28.88,58.15,29.27,1
10/3/05,0,36.46,NA,NA,0
10/3/05,0,24.36,54.42,30.06,1
10/3/05,0,34.88,69.56,34.68,1
10/3/05,0,28.41,48.27,19.86,1
10/3/05,0,20.98,42.04,21.06,1
10/3/05,0,30.77,49.33,18.56,1
10/3/05,0,29.21,47.15,17.94,1
10/3/05,0,33.59,58.96,25.37,1
10/3/05,0,23.66,54.34,30.68,1
10/3/05,0,38.87,79.94,41.07,1
10/3/05,0,21.1,51.97,30.87,1
10/3/05,0,26.94,49.78,22.84,1
