rhoVal,alphaVal,deltaVal,Leqs,Neqs,Heqs,initH,oystersAdded,popDist,tolCond,num.calcs
low,estimate,mid,39763.97913,11060285.35,56796.91352,23000,22617692.54,distHarvest,1.15,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,24000,22540831.07,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,25000,22464928.31,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,26000,22389948.49,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,27000,22315928.53,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,28000,22242831.52,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,29000,22170528.23,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,30000,22099147.88,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,31000,22028598.19,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,32000,21958897.6,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,33000,21889953.82,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,34000,21821822.23,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,35000,21754484.38,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,36000,21687884.87,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,37000,21622023.72,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,38000,21556824.78,distHarvest,2.31,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,39000,21492405.73,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,40000,21428630.43,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,41000,21365556.56,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,42000,21303202.59,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,43000,21241383.93,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,44000,21180257.47,distHarvest,9.23,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,45000,21119795.53,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,46000,21059878.13,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,47000,21000625.24,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,48000,20941889.21,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,49000,20883817.69,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,50000,20826226.1,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,51000,20769262.11,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,52000,20712814.97,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,53000,20656884.68,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,54000,20601508.15,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,55000,20546685.39,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,56000,20492342.55,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,57000,20438479.65,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,58000,20385133.6,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,59000,20332267.47,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,60000,20279844.36,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,61000,20227901.17,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,62000,20176474.84,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,63000,20125417.68,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,64000,20074877.37,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,65000,20024706.23,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,66000,19975051.95,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,67000,19925729.92,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,68000,19876887.82,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,69000,19828414.9,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,70000,19780421.91,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,71000,19732724.26,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,72000,19685469.62,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,73000,19638658,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,74000,19592141.72,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,75000,19545994.57,distHarvest,0.04,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,76000,19500290.52,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,77000,19454877.15,distHarvest,4.61,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,78000,19409916.02,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,79000,19365208.71,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,80000,19320907.48,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,81000,19276920.06,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,82000,19233301.82,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,83000,19190034.29,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,84000,19147062.1,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,85000,19104385.26,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,86000,19062040.67,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,87000,19020065.27,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,88000,18978339.05,distHarvest,9.23,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,89000,18936963.56,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,90000,18895874.17,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,91000,18855117.05,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,92000,18814655.27,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,93000,18774405.76,distHarvest,9.23,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,94000,18734506.97,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,95000,18694894.29,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,96000,18655530.81,distHarvest,9.23,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,97000,18616481.13,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,98000,18577680.64,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,99000,18539166.27,distHarvest,9.23,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,1.00E+05,18500910.32,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,101000,18462940.48,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,102000,18425247.52,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,103000,18387739.15,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,104000,18350526.13,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,105000,18313608.44,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,106000,18276838.43,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,107000,18240363.75,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,108000,18204184.42,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,109000,18168152.76,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,110000,18132416.44,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,111000,18096864.71,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,112000,18061589.86,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,113000,18026536.52,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,114000,17991686.23,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,115000,17957131.27,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,116000,17922723.99,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,117000,17888519.75,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,118000,17854569.33,distHarvest,4.61,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,119000,17820831.18,distHarvest,73.84,150
