startDate,timeStep,species,location,size,sizeNext,sizeChange,log.sizeChange,surv
2006-10-13,0,CV,WB,12.2,NA,NA,NA,0
2006-10-13,0,CV,WB,8.7,NA,NA,NA,0
2006-10-13,0,CV,WB,9.9,NA,NA,NA,0
2006-10-13,0,CV,WB,21.4,67.8,46.4,3.83729945923221,1
2006-10-13,0,CV,WB,18.1,63,44.9,3.80443779474821,1
2006-10-13,0,CV,WB,11,NA,NA,NA,0
2006-10-13,0,CV,WB,17.3,66.8,49.5,3.90197266957464,1
2006-10-13,0,CV,WB,19,55.6,36.6,3.60004824040732,1
2006-10-13,0,CV,WB,31.8,73.6,41.8,3.73289633953071,1
2006-10-13,0,CV,WB,8.9,NA,NA,NA,0
2006-10-13,0,CV,WB,11.7,NA,NA,NA,0
2006-10-13,0,CV,WB,14.6,NA,NA,NA,0
2006-10-13,0,CV,WB,6.2,60.9,54.7,4.00186370942794,1
2006-10-13,0,CV,WB,6.5,NA,NA,NA,0
2006-10-13,0,CV,WB,12.2,67.3,55.1,4.00914971615887,1
2006-10-13,0,CV,WB,9,NA,NA,NA,0
2006-10-13,0,CV,WB,22.9,NA,NA,NA,0
2006-10-13,0,CV,WB,17.6,NA,NA,NA,0
2006-10-13,0,CV,WB,23.7,67.1,43.4,3.77045944110636,1
2007-10-11,0,CV,WB,28.6,73.35483278,44.75483278,3.80119943397361,1
2007-10-11,0,CV,WB,35,81.99136347,46.99136347,3.84996382886742,1
2007-10-11,0,CV,WB,34.7,NA,NA,NA,0
2007-10-11,0,CV,WB,32.6,NA,NA,NA,0
2007-10-11,0,CV,WB,43.6,79.3,35.7,3.57515068878559,1
2007-10-11,0,CV,WB,36.4,85.11521499,48.71521499,3.88599140408731,1
2007-10-11,0,CV,WB,29.1,80.94328177,51.84328177,3.94822535578875,1
2007-10-11,0,CV,WB,33.2,NA,NA,NA,0
2007-10-11,0,CV,WB,34.6,NA,NA,NA,0
2007-10-11,0,CV,WB,34.3,74.45736861,40.15736861,3.69280595057741,1
2007-10-11,0,CV,WB,36.2,71.3,35.1,3.55820113047182,1
2007-10-11,0,CV,WB,44.3,95.6030735,51.3030735,3.93775066266276,1
2007-10-11,0,CV,WB,37.1,NA,NA,NA,0
2007-10-11,0,CV,WB,36.3,62.5,26.2,3.26575941076705,1
2007-10-11,0,CV,WB,39.9,82.54263139,42.64263139,3.75285448972648,1
2007-10-11,0,CV,WB,43,NA,NA,NA,0
2007-10-11,0,CV,WB,39.7,88.23906652,48.53906652,3.88236896896397,1
2007-10-11,0,CV,WB,35.3,73.66393691,38.36393691,3.64711787535387,1
2007-10-11,0,CV,WB,41.4,NA,NA,NA,0
2007-10-11,0,CV,WB,43.5,66.3,22.8,3.1267605359604,1
2007-10-11,0,CV,WB,55.6,85.5,29.9,3.39785848039664,1
2007-10-11,0,CV,WB,32.1,77.70801739,45.60801739,3.82008352102196,1
2007-10-11,0,CV,WB,42.7,76.9,34.2,3.53222564406856,1
2007-10-11,0,CV,WB,42.9,NA,NA,NA,0
2007-10-11,0,CV,WB,52.4,80.43777171,28.03777171,3.33355259074899,1
2007-10-11,0,CV,WB,37.5,NA,NA,NA,0
2007-10-11,0,CV,WB,34.8,81.85319988,47.05319988,3.85127887392071,1
2007-10-11,0,CV,WB,31.7,66.48569407,34.78569407,3.54920621231726,1
2007-10-11,0,CV,WB,27.7,NA,NA,NA,0
2007-10-11,0,CV,WB,37.9,74.27054898,36.37054898,3.59375935319348,1
2007-10-11,0,CV,WB,35.9,NA,NA,NA,0
2007-10-11,0,CV,WB,22.9,NA,NA,NA,0
2007-10-11,0,CV,WB,41.7,NA,NA,NA,0
2007-10-11,0,CV,WB,44.8,85.66648291,40.86648291,3.71031023833123,1
2007-10-11,0,CV,WB,48.9,82,33.1,3.49953328238302,1
2007-10-11,0,CV,WB,36.9,NA,NA,NA,0
2007-10-11,0,CV,WB,38.5,NA,NA,NA,0
2007-10-11,0,CV,WB,40.5,77.76497611,37.26497611,3.61805390724932,1
2007-10-11,0,CV,WB,37.2,82.15650591,44.95650591,3.80569548704052,1
2007-10-11,0,CV,WB,32.2,NA,NA,NA,0
2007-10-11,0,CV,WB,34.9,101.8370085,66.9370085,4.20375200551061,1
2007-10-11,0,CV,WB,42.3,NA,NA,NA,0
2007-10-11,0,CV,WB,33.5,NA,NA,NA,0
2007-10-11,0,CV,WB,48.8,74,25.2,3.22684399451738,1
2007-10-11,0,CV,WB,45.6,NA,NA,NA,0
2007-10-11,0,CV,WB,48.89394399,83.82892319,34.9349792,3.5534885966128,1
2007-10-11,0,CV,WB,44,NA,NA,NA,0
2007-10-11,0,CV,WB,42.3,95.40086948,53.10086948,3.97219330250178,1
2007-10-11,0,CV,WB,31.4,NA,NA,NA,0
2007-10-11,0,CV,WB,35.4,NA,NA,NA,0
2007-10-11,0,CV,WB,38.9,74.77605904,35.87605904,3.58007019392282,1
2007-10-11,0,CV,WB,47.9,87.32028666,39.42028666,3.67428057364131,1
2007-10-11,0,CV,WB,37.5,80.2,42.7,3.75419892023458,1
2007-10-11,0,CV,WB,43.6,82.0554039,38.4554039,3.6494992296394,1
2007-10-11,0,CV,WB,37.4,84.19643513,46.79643513,3.84580702758644,1
2007-10-11,0,CV,WB,39,85.48272694,46.48272694,3.83908077992768,1
