"startDate","timeStep","species","location","size","sizeNext","sizeChange","log.sizeChange","surv"
2006-10-16,0,"CV","BP",12.1,NA,NA,NA,0
2006-10-16,0,"CV","BP",9.4,NA,NA,NA,0
2006-10-16,0,"CV","BP",15.9,NA,NA,NA,0
2006-10-16,0,"CV","BP",14.9,NA,NA,NA,0
2006-10-16,0,"CV","BP",11,NA,NA,NA,0
2006-10-16,0,"CV","BP",13.8,NA,NA,NA,0
2006-10-16,0,"CV","BP",6.2,NA,NA,NA,0
2006-10-16,0,"CV","BP",8.4,NA,NA,NA,0
2006-10-16,0,"CV","BP",12.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",12,NA,NA,NA,0
2006-10-16,0,"CV","BP",15.4,NA,NA,NA,0
2006-10-16,0,"CV","BP",13,NA,NA,NA,0
2006-10-16,0,"CV","BP",7.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",12.7,58,45.3,3.81330703248899,1
2006-10-16,0,"CV","BP",15.5,65.9,50.4,3.91999117507732,1
2006-10-16,0,"CV","BP",19.8,NA,NA,NA,0
2006-10-16,0,"CV","BP",15.1,NA,NA,NA,0
2006-10-16,0,"CV","BP",10.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",8.1,NA,NA,NA,0
2006-10-16,0,"CV","BP",11.9,NA,NA,NA,0
2006-10-16,0,"CV","BP",11.5,69.8,58.3,4.06560209335645,1
2006-10-16,0,"CV","BP",11.4,NA,NA,NA,0
2006-10-16,0,"CV","BP",11.8,54,42.2,3.74242022104197,1
2006-10-16,0,"CV","BP",13.3,54.4,41.1,3.71600812150219,1
2006-10-16,0,"CV","BP",11.5,46.3,34.8,3.54961738678043,1
2006-10-16,0,"CV","BP",10,NA,NA,NA,0
2006-10-16,0,"CV","BP",9.4,NA,NA,NA,0
2006-10-16,0,"CV","BP",11.8,NA,NA,NA,0
2006-10-16,0,"CV","BP",11.8,49.5,37.7,3.62966009445396,1
2006-10-16,0,"CV","BP",11,61.1,50.1,3.91402100809082,1
2006-10-16,0,"CV","BP",10.8,59.2,48.4,3.87949981372259,1
2006-10-16,0,"CV","BP",10.9,NA,NA,NA,0
2006-10-16,0,"CV","BP",14.1,57.5,43.4,3.77045944110636,1
2006-10-16,0,"CV","BP",9.9,NA,NA,NA,0
2006-10-16,0,"CV","BP",6.3,55.8,49.5,3.90197266957464,1
2006-10-16,0,"CV","BP",13.6,66.6,53,3.97029191355212,1
2006-10-16,0,"CV","BP",13,NA,NA,NA,0
2006-10-16,0,"CV","BP",12.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",8.8,NA,NA,NA,0
2006-10-16,0,"CV","BP",6.2,NA,NA,NA,0
2006-10-16,0,"CV","BP",18.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",9.3,48.2,38.9,3.6609942506244,1
2006-10-16,0,"CV","BP",13,65.3,52.3,3.95699637107088,1
2006-10-16,0,"CV","BP",14.7,NA,NA,NA,0
2006-10-16,0,"CV","BP",14.5,74.5,60,4.0943445622221,1
2006-10-16,0,"CV","BP",22.8,59.3,36.5,3.59731226058845,1
2006-10-16,0,"CV","BP",13.3,46.3,33,3.49650756146648,1
2006-10-16,0,"CV","BP",9.6,NA,NA,NA,0
2006-10-16,0,"CV","BP",10.3,NA,NA,NA,0
2006-10-16,0,"CV","BP",12,NA,NA,NA,0
2006-10-16,0,"CV","BP",12.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",11,54.5,43.5,3.77276093809464,1
2006-10-16,0,"CV","BP",12.3,43.6,31.3,3.44361809754611,1
2006-10-16,0,"CV","BP",11.6,53.84794257,42.24794257,3.74355565604942,1
2006-10-16,0,"CV","BP",15.6,62.2,46.6,3.8416005411316,1
2006-10-16,0,"CV","BP",23,NA,NA,NA,0
2006-10-16,0,"CV","BP",14.3,NA,NA,NA,0
2006-10-16,0,"CV","BP",20.6,NA,NA,NA,0
2006-10-16,0,"CV","BP",16.7,NA,NA,NA,0
2006-10-16,0,"CV","BP",10.8,76.7,65.9,4.18813844150846,1
2006-10-16,0,"CV","BP",28.6,51.3,22.7,3.12236492448736,1
2006-10-16,0,"CV","BP",22.7,NA,NA,NA,0
2006-10-16,0,"CV","BP",13.1,NA,NA,NA,0
2006-10-16,0,"CV","BP",18.6,53.2,34.6,3.54385368206368,1
2006-10-16,0,"CV","BP",15,NA,NA,NA,0
2007-10-13,0,"CV","BP",40.6,64.2,23.6,3.16124671203156,1
2007-10-13,0,"CV","BP",47.5,77,29.5,3.38439026334577,1
2007-10-13,0,"CV","BP",52.6,84.3,31.7,3.45631668088323,1
2007-10-13,0,"CV","BP",44.4,65.4,21,3.04452243772342,1
2007-10-13,0,"CV","BP",52,85.79617834,33.79617834,3.52034772923253,1
2007-10-13,0,"CV","BP",41.3,NA,NA,NA,0
2007-10-13,0,"CV","BP",24.1,NA,NA,NA,0
2007-10-13,0,"CV","BP",38.4,66.4,28,3.3322045101752,1
2007-10-13,0,"CV","BP",41.6,68.20442827,26.60442827,3.2810776782478,1
2007-10-13,0,"CV","BP",38.4,NA,NA,NA,0
2007-10-13,0,"CV","BP",37.9,NA,NA,NA,0
2007-10-13,0,"CV","BP",30.6,63.3,32.7,3.48737507790321,1
2007-10-13,0,"CV","BP",53.7,72.9,19.2,2.95491027903374,1
2007-10-13,0,"CV","BP",44.4,NA,NA,NA,0
2007-10-13,0,"CV","BP",49.6,NA,NA,NA,0
2007-10-13,0,"CV","BP",48.3,75.8,27.5,3.31418600467253,1
2007-10-13,0,"CV","BP",39.6,69.3,29.7,3.39114704580865,1
2007-10-13,0,"CV","BP",52,88,36,3.58351893845611,1
2007-10-13,0,"CV","BP",44.4,71.8441007,27.4441007,3.3121512341121,1
2007-10-13,0,"CV","BP",41.3,NA,NA,NA,0
2007-10-13,0,"CV","BP",35.5,NA,NA,NA,0
2007-10-13,0,"CV","BP",32.8,62.6,29.8,3.39450839351136,1
2007-10-13,0,"CV","BP",37,67.1,30.1,3.40452517175483,1
2007-10-13,0,"CV","BP",57.9,96.4,38.5,3.65065824129374,1
2007-10-13,0,"CV","BP",28.2,NA,NA,NA,0
2007-10-13,0,"CV","BP",33.4,67.49671418,34.09671418,3.52920102128894,1
2007-10-13,0,"CV","BP",35.7,NA,NA,NA,0
2007-10-13,0,"CV","BP",32.6,87.7,55.1,4.00914971615887,1
2007-10-13,0,"CV","BP",39.6,NA,NA,NA,0
2007-10-13,0,"CV","BP",38.7,NA,NA,NA,0
2007-10-13,0,"CV","BP",30.1,66.3,36.2,3.58905911883173,1
2007-10-13,0,"CV","BP",34.7,NA,NA,NA,0
2007-10-13,0,"CV","BP",37.9,80,42.1,3.74004774068834,1
2007-10-13,0,"CV","BP",33.3,NA,NA,NA,0
2007-10-13,0,"CV","BP",55.1,90.5,35.4,3.56671182013973,1
2007-10-13,0,"CV","BP",38.8,60.7,21.9,3.08648663682246,1
2007-10-13,0,"CV","BP",40.4,78.3,37.9,3.63495111208838,1
2007-10-13,0,"CV","BP",28.9,71.74299869,42.84299869,3.75754224056215,1
2007-10-13,0,"CV","BP",33.6,68.6,35,3.55534806148941,1
2007-10-13,0,"CV","BP",42.8,NA,NA,NA,0
2007-10-13,0,"CV","BP",53.8,88.52593267,34.72593267,3.54748674702702,1
2007-10-13,0,"CV","BP",56.3,78.7,22.4,3.10906095886099,1
2007-10-13,0,"CV","BP",41,85,44,3.78418963391826,1
2007-10-13,0,"CV","BP",44.9,74.9,30,3.40119738166216,1
2007-10-13,0,"CV","BP",58.7,91.356789,32.656789,3.48605276672613,1
2007-10-13,0,"CV","BP",41.2,97.82731776,56.62731776,4.03649151470945,1
2007-10-13,0,"CV","BP",38.7,59.2,20.5,3.02042488614436,1
2007-10-13,0,"CV","BP",43.5,NA,NA,NA,0
2007-10-13,0,"CV","BP",40.9,NA,NA,NA,0
2007-10-13,0,"CV","BP",42.9,74.9,32,3.46573590279973,1
2007-10-13,0,"CV","BP",36.9,NA,NA,NA,0
2007-10-13,0,"CV","BP",27.9,64.6,36.7,3.60277675506052,1
2007-10-13,0,"CV","BP",45.6,81.9,36.3,3.5918177412708,1
2007-10-13,0,"CV","BP",36.3,68.57717751,32.27717751,3.4743604018465,1
2007-10-13,0,"CV","BP",44.6,78.51683348,33.91683348,3.52391145397174,1
2007-10-13,0,"CV","BP",49.6,86.1,36.5,3.59731226058845,1
2007-10-13,0,"CV","BP",38.1,NA,NA,NA,0
2007-10-13,0,"CV","BP",39.9,NA,NA,NA,0
2007-10-13,0,"CV","BP",38.9,79.3,40.4,3.6988297849671,1
2007-10-13,0,"CV","BP",32.6,60.3,27.7,3.32143241319329,1
2007-10-13,0,"CV","BP",38,70,32,3.46573590279973,1
2007-10-13,0,"CV","BP",46,77.5,31.5,3.44998754583159,1
2007-10-13,0,"CV","BP",39.5,NA,NA,NA,0
2007-10-13,0,"CV","BP",40.6,NA,NA,NA,0
2007-10-13,0,"CV","BP",34.1,85.18956627,51.08956627,3.93358029377839,1
2007-10-13,0,"CV","BP",36,77.6,41.6,3.72810016726722,1
2007-10-13,0,"CV","BP",38.3,68.91214235,30.61214235,3.42139673907406,1
2007-10-13,0,"CV","BP",44,74,30,3.40119738166216,1
2007-10-13,0,"CV","BP",40.8,67.7,26.9,3.29212628660779,1
2007-10-13,0,"CV","BP",36.9,NA,NA,NA,0
2007-10-13,0,"CV","BP",42.2,NA,NA,NA,0
2007-10-13,0,"CV","BP",48.8,NA,NA,NA,0
2007-10-13,0,"CV","BP",34.2,72,37.8,3.63230910262554,1
2007-10-13,0,"CV","BP",40.9,76,35.1,3.55820113047182,1
2007-10-13,0,"CV","BP",34.6,67,32.4,3.47815842279828,1
2007-10-13,0,"CV","BP",61.4,NA,NA,NA,0
2007-10-13,0,"CV","BP",38.6,59.8,21.2,3.05400118167797,1
2007-10-13,0,"CV","BP",45.1,67.6,22.5,3.11351530921037,1
2007-10-13,0,"CV","BP",54.5,95.2,40.7,3.70622809244855,1
2007-10-13,0,"CV","BP",40.2,82.3,42.1,3.74004774068834,1
2007-10-13,0,"CV","BP",53.1,84.7,31.6,3.45315712059287,1
2007-10-13,0,"CV","BP",42.8,69.2,26.4,3.27336401015227,1
2007-10-13,0,"CV","BP",53.1,81.1,28,3.3322045101752,1
2007-10-13,0,"CV","BP",43,81.1,38.1,3.64021428213266,1
2007-10-13,0,"CV","BP",46.9,78.9,32,3.46573590279973,1
2007-10-13,0,"CV","BP",31.1,NA,NA,NA,0
2007-10-13,0,"CV","BP",46.5,89.7091143,43.2091143,3.76605145216376,1
2007-10-13,0,"CV","BP",48.6,76.3,27.7,3.32143241319329,1
2007-10-13,0,"CV","BP",54.9,85.6,30.7,3.42426265459315,1
2007-10-13,0,"CV","BP",47,74.27054898,27.27054898,3.30580732793466,1
2007-10-13,0,"CV","BP",43.9,79.2,35.3,3.56388296393925,1
2007-10-13,0,"CV","BP",53.4,97.62511374,44.22511374,3.78929281189104,1
2007-10-13,0,"CV","BP",49.4,78.1,28.7,3.35689712276558,1
2007-10-13,0,"CV","BP",42.1,81.8,39.7,3.68135118769314,1
2007-10-13,0,"CV","BP",37.6,NA,NA,NA,0
2007-10-13,0,"CV","BP",40.5,55.8,15.3,2.72785282839839,1
2007-10-13,0,"CV","BP",46.3,NA,NA,NA,0
2007-10-13,0,"CV","BP",46,NA,NA,NA,0
2007-10-13,0,"CV","BP",59.1,77.4,18.3,2.90690105984738,1
2007-10-13,0,"CV","BP",50.6,NA,NA,NA,0
2007-10-13,0,"CV","BP",57.9,100.5,42.6,3.75185425327532,1
2007-10-13,0,"CV","BP",34.6,NA,NA,NA,0
2007-10-13,0,"CV","BP",44.2,NA,NA,NA,0
2007-10-13,0,"CV","BP",44.7,73.3,28.6,3.35340671782581,1
2007-10-13,0,"CV","BP",42.3,81.9,39.6,3.67882911826044,1
2007-10-13,0,"CV","BP",37.5,57.9,20.4,3.01553490085017,1
2007-10-13,0,"CV","BP",60.8,73.1,12.3,2.50959926237837,1
2007-10-13,0,"CV","BP",42.9,NA,NA,NA,0
2007-10-13,0,"CV","BP",33.9,NA,NA,NA,0
2007-10-13,0,"CV","BP",35.1,76.6,41.5,3.72569342723665,1
2007-10-13,0,"CV","BP",51.5,NA,NA,NA,0
2007-10-13,0,"CV","BP",44.2,NA,NA,NA,0
2007-10-13,0,"CV","BP",45.3,77.2,31.9,3.4626060097908,1
2007-10-13,0,"CV","BP",40.4,82.7,42.3,3.74478708605223,1
2007-10-13,0,"CV","BP",34.9,74.9,40,3.68887945411394,1
2007-10-13,0,"CV","BP",41.5,79.5,38,3.63758615972639,1
2007-10-13,0,"CV","BP",32.6,72.3,39.7,3.68135118769314,1
2007-10-13,0,"CV","BP",44.7,82.6,37.9,3.63495111208838,1
2007-10-13,0,"CV","BP",61.3,90.5,29.2,3.37416870927424,1
2007-10-13,0,"CV","BP",59.2,90.2,31,3.43398720448515,1
2007-10-13,0,"CV","BP",40.6,77.2,36.6,3.60004824040732,1
2007-10-13,0,"CV","BP",43.1,86.3,43.2,3.76584049525006,1
2007-10-13,0,"CV","BP",42.4,65.2,22.8,3.1267605359604,1
2007-10-13,0,"CV","BP",35,NA,NA,NA,0
2007-10-13,0,"CV","BP",36.1,NA,NA,NA,0
2007-10-13,0,"CV","BP",32.3,77.4,45.1,3.80888224650863,1
2007-10-13,0,"CV","BP",45.8,85.8,40,3.68887945411394,1
2007-10-13,1,"CV","BP",63.3,NA,NA,NA,0
2007-10-13,1,"CV","BP",72.7,85.5,12.8,2.54944517092557,1
2007-10-13,1,"CV","BP",70.5,115.2,44.7,3.79997350161952,1
2007-10-13,1,"CV","BP",74.3,94.3,20,2.99573227355399,1
2007-10-13,1,"CV","BP",84,107.7,23.7,3.16547504814109,1
2007-10-13,1,"CV","BP",65.0702659,87.32028666,22.25002076,3.10234294164552,1
2007-10-13,1,"CV","BP",81.3,109.6562532,28.3562532,3.34484757728003,1
2007-10-13,1,"CV","BP",65.6,NA,NA,NA,0
2007-10-13,1,"CV","BP",65,NA,NA,NA,0
2007-10-13,1,"CV","BP",60.7,95.5893054,34.8893054,3.55218034671733,1
2007-10-13,1,"CV","BP",67.2,107,39.8,3.68386691229039,1
2007-10-13,1,"CV","BP",67.9,87.71711657,19.81711657,2.98654603749103,1
2007-10-13,1,"CV","BP",65.6,NA,NA,NA,0
2007-10-13,1,"CV","BP",70.8,85.79617834,14.99617834,2.70779539130762,1
2007-10-13,1,"CV","BP",75.1,NA,NA,NA,0
2007-10-13,1,"CV","BP",63.9,100.4559701,36.5559701,3.59884451348643,1
2007-10-13,1,"CV","BP",66.58679608,96.7,30.11320392,3.4049637440065,1
2007-10-13,1,"CV","BP",61.5,NA,NA,NA,0
2007-10-13,1,"CV","BP",72.4,86.70609645,14.30609645,2.66068577158993,1
2007-10-13,1,"CV","BP",77.40471135,116.3537302,38.94901885,3.66225358201232,1
2007-10-13,1,"CV","BP",68.3,NA,NA,NA,0
2007-10-13,1,"CV","BP",65.8,96.4,30.6,3.42100000895834,1
2007-10-13,1,"CV","BP",65.26957001,NA,NA,NA,0
2007-10-13,1,"CV","BP",67.90112223,93.0755232,25.17440097,3.22582764368399,1
2007-10-13,1,"CV","BP",67,89.9,22.9,3.13113691056019,1
2007-10-13,1,"CV","BP",67.19340815,NA,NA,NA,0
2007-10-13,1,"CV","BP",75.88818117,NA,NA,NA,0
2007-10-13,1,"CV","BP",67.39561217,NA,NA,NA,0
2007-10-13,1,"CV","BP",70.93418259,NA,NA,NA,0
2007-10-13,1,"CV","BP",63.98327821,95.22179346,31.23851525,3.44165179663332,1
2007-10-13,1,"CV","BP",60.92508341,NA,NA,NA,0
2007-10-13,1,"CV","BP",63.9,NA,NA,NA,0
2007-10-13,1,"CV","BP",62,96.14057332,34.14057332,3.53048651042974,1
2007-10-13,1,"CV","BP",62.1,NA,NA,NA,0
2007-10-13,1,"CV","BP",70.02426448,91.36291804,21.33865356,3.06052014922514,1
2007-10-13,1,"CV","BP",55.5,NA,NA,NA,0
2007-10-13,1,"CV","BP",54.1,NA,NA,NA,0
2007-10-13,1,"CV","BP",63.9,NA,NA,NA,0
2007-10-13,1,"CV","BP",58.7,76.49479325,17.79479325,2.87890590046252,1
2007-10-13,1,"CV","BP",69.2,NA,NA,NA,0
2007-10-13,1,"CV","BP",57.6,NA,NA,NA,0
2007-10-13,1,"CV","BP",69.3,NA,NA,NA,0
2007-10-13,1,"CV","BP",64.66585785,90.9954061,26.32954825,3.27069181612594,1
2007-10-13,1,"CV","BP",64.90205807,NA,NA,NA,0
2007-10-13,1,"CV","BP",75.8,116.6,40.8,3.70868208141012,1
2007-10-13,1,"CV","BP",53,83.7,30.7,3.42426265459315,1
2007-10-13,1,"CV","BP",64.7,NA,NA,NA,0
2007-10-13,1,"CV","BP",59,66.68789809,7.68789809,2.03964741585693,1
2007-10-13,1,"CV","BP",67.4,105.4,38,3.63758615972639,1
2007-10-13,1,"CV","BP",60,NA,NA,NA,0
2007-10-13,1,"CV","BP",79.1,106.6,27.5,3.31418600467253,1
2007-10-13,1,"CV","BP",61.5,NA,NA,NA,0
2007-10-13,1,"CV","BP",74,96.4118896,22.4118896,3.10959160375837,1
2007-10-13,1,"CV","BP",69,NA,NA,NA,0
2007-10-13,1,"CV","BP",60.9,NA,NA,NA,0
2007-10-13,1,"CV","BP",75.5,115.2511944,39.7511944,3.68263988844766,1
2007-10-13,1,"CV","BP",64.2,NA,NA,NA,0
2007-10-13,1,"CV","BP",77.30360934,88.8,11.49639066,2.44203313045404,1
2007-10-13,1,"CV","BP",52.43251441,NA,NA,NA,0
2007-10-13,1,"CV","BP",62.23940956,97.97813304,35.73872348,3.57623479224955,1
2007-10-13,1,"CV","BP",84.3,97.7,13.4,2.59525470695687,1
2007-10-13,1,"CV","BP",57.9,NA,NA,NA,0
2007-10-13,1,"CV","BP",73,102.4,29.4,3.38099467434464,1
2007-10-13,1,"CV","BP",70.5,NA,NA,NA,0
2007-10-13,1,"CV","BP",77.7,NA,NA,NA,0
2007-10-13,1,"CV","BP",97.9,112.1,14.2,2.65324196460721,1
2007-10-13,1,"CV","BP",95.8,111.1,15.3,2.72785282839839,1
2007-10-13,1,"CV","BP",76.3,103.1,26.8,3.28840188751681,1
2007-10-13,1,"CV","BP",73.7,NA,NA,NA,0
2007-10-13,1,"CV","BP",81.6,NA,NA,NA,0
2007-10-13,1,"CV","BP",86.9,107.6,20.7,3.03013370027132,1
2007-10-13,1,"CV","BP",84.6,NA,NA,NA,0
